Jaar,Begroting,Realisatie,Inflatie CPI,Inflatie * Begroting2015
2015,€5.132.936,€5.146.049,"1,006",€5.132.936
2016,€5.199.190,€5.595.908,"1,003",€5.163.734
2017,€5.547.979,€6.020.985,"1,014",€5.179.225
2018,€5.598.229,€5.901.324,"1,017",€5.251.734
2019,€6.041.402,€6.306.609,"1,026",€5.341.013
2020,€6.264.396,€6.494.298,"1,013",€5.479.880
2021,€6.365.623,€6.635.958,"1,027",€5.551.118
2022,€6.695.742,€7.360.357,"1,1",€5.700.998
2023,€7.177.190,€7.560.436,"1,038",€6.271.098
2024,€7.755.785,€8.318.627,"1,033",€6.509.400
2025,€8.209.178,,"1,033",€6.724.210
2026,€8.843.848,,,€6.946.109
